ARDR,ARK,REP,BCH,BTC,BCC,BCN,ADA,DASH,DCR,EOS,ETC,ETH,GAS,GNT,MIOTA,KMD,LSK,LTC,MAID,XMR,XEM,NEO,OMG,PIVX,QTUM,XRP,STEEM,XLM,STRAT,PAY,USDT,WAVES,ZEC
0.206292,2.88846,17.9376,1361.6,6453.55,248.571,0.0011492,0.0256168,437.532,31.5887,1.14631,15.6082,314.997,19.8307,0.206614,0.585981,2.00091,6.35611,60.8863,0.416248,123.64,0.190564,27.6835,7.37909,3.15431,11.188,0.202635,0.883228,0.0305018,3.16014,1.6334,0.998763,4.23116,266.257
0.204177,2.90687,18.0077,1412.96,6452.26,246.942,0.00110875,0.0252581,436.592,31.3986,1.14716,15.5481,314.967,19.6017,0.204903,0.584091,1.9887,6.30023,60.7628,0.412857,123.378,0.188673,27.6004,7.35686,3.12729,11.1588,0.202416,0.876169,0.0303087,3.14202,1.59789,1.01574,4.19085,264.706
0.203613,2.89546,17.9953,1436.16,6383.65,246.264,0.00110361,0.0251246,438.108,31.2973,1.1475,15.52,314.348,19.5652,0.203482,0.583237,1.98384,6.22333,60.6626,0.41008,122.603,0.189282,27.4477,7.35519,3.09227,11.1583,0.202092,0.874099,0.0301391,3.1302,1.59991,1.0108,4.21492,264.049
0.202714,2.87762,17.9364,1419.98,6433.84,245.088,0.00109926,0.0250671,441.038,31.0202,1.14376,15.5639,314.513,19.4832,0.204322,0.582294,1.97234,6.26756,60.4523,0.411231,122.802,0.188306,27.4086,7.33749,3.12111,11.1368,0.201647,0.869883,0.0300096,3.12453,1.60848,1.01695,4.20428,263.511
0.202895,2.87045,18.0761,1441.21,6377.92,245.648,0.00110584,0.0251395,439.498,31.1165,1.14621,15.5385,314.573,19.837,0.204605,0.580804,1.97288,6.28982,60.6215,0.411024,123.041,0.188461,27.5153,7.35175,3.08982,11.1623,0.201413,0.874517,0.0301148,3.13209,1.61074,1.01133,4.22182,263.062
0.202895,2.87045,18.0761,1441.21,6377.92,245.648,0.00110584,0.0251395,439.498,31.1165,1.14621,15.5385,314.573,19.837,0.204605,0.580804,1.97288,6.28982,60.5785,0.411119,122.514,0.188461,27.5153,7.35175,3.08982,11.1623,0.202061,0.874517,0.0299567,3.13209,1.61074,1.01133,4.22182,263.062
0.202704,2.88621,18.12,1350.24,6523.56,247.132,0.00112198,0.0252166,438.49,31.3474,1.15767,15.6015,315.536,19.7373,0.206753,0.58194,1.98881,6.33234,60.7078,0.414518,123.285,0.189988,27.7268,7.41239,3.1539,11.1761,0.202152,0.881009,0.0301223,3.15707,1.62475,1.019,4.24786,263.085
0.204205,2.89559,18.1389,1290.37,6618.33,248.751,0.00114599,0.0253921,433.075,31.7379,1.15749,15.6218,316.162,19.8919,0.206314,0.587757,2.01601,6.31811,60.7348,0.416209,123.883,0.190425,27.8361,7.42626,3.17642,11.2186,0.202151,0.882764,0.0304405,3.18129,1.60956,1.01835,4.29051,264.927
0.208441,2.91952,18.2999,1308.05,6497.08,252.124,0.00115941,0.025733,435.355,32.0378,1.1602,15.6255,316.01,20.1792,0.208602,0.589729,2.03921,6.35887,61.0856,0.422248,124.183,0.193365,28.0945,7.42335,3.18179,11.2306,0.202755,0.894295,0.0310172,3.22394,1.6328,1.00315,4.37666,266.41
0.207671,2.92575,18.3795,1284.92,6544.83,251.552,0.00114852,0.0258068,438.046,31.9684,1.15841,15.7251,316.809,20.0644,0.205545,0.591728,2.0364,6.34104,61.231,0.422506,124.436,0.192838,28.1557,7.39396,3.17558,11.2219,0.202602,0.893263,0.0310536,3.22022,1.62916,1.0067,4.36732,266.68
0.209202,2.9383,18.4402,1323.77,6449.43,252.699,0.00115244,0.0259219,439.755,31.9439,1.16046,15.8362,316.674,20.0603,0.206315,0.595219,2.05233,6.37396,61.2591,0.422421,124.621,0.193904,28.223,7.39828,3.22632,11.2333,0.203234,0.894339,0.031269,3.23042,1.63068,0.997484,4.3719,268.09
0.204189,2.90512,18.3354,1318.07,6513.21,250.502,0.00114019,0.025696,433.225,31.4211,1.1562,15.9184,315.66,19.83,0.205079,0.588936,2.02431,6.36232,61.1661,0.41941,124.222,0.192231,28.0111,7.36292,3.20118,11.2064,0.203041,0.887097,0.0310542,3.19942,1.61801,1.0074,4.39067,267.41
0.206776,2.93424,18.3508,1296.75,6539.93,252.479,0.00115135,0.0260873,432.609,31.518,1.1653,16.1209,316.049,20.0533,0.206291,0.589453,2.04021,6.39642,61.378,0.421695,124.598,0.193254,28.1903,7.39738,3.18593,11.2512,0.203366,0.894945,0.0311686,3.21896,1.6312,1.00502,4.43822,269.072
0.208054,2.9146,18.3092,1317.68,6507.27,252.472,0.00115713,0.0260861,433.582,31.6145,1.16473,16.0784,315.895,20.0462,0.206278,0.593914,2.0459,6.41253,61.2182,0.422829,123.873,0.193626,28.1538,7.40229,3.18579,11.2497,0.203103,0.895355,0.0312391,3.21938,1.62629,1.00177,4.45569,270.289
0.206666,2.89868,18.2047,1317.39,6539.23,251.998,0.00116146,0.0260322,435.489,31.5804,1.16158,15.8918,315.78,20.0073,0.207032,0.594338,2.03886,6.40348,61.1666,0.421469,121.212,0.193114,28.0864,7.38818,3.1792,11.2208,0.202663,0.891652,0.031223,3.21115,1.6231,1.00744,4.463,270.427
0.206832,2.90446,18.1937,1314.84,6537.1,251.933,0.0011666,0.0260255,433.48,31.5723,1.16306,15.9292,315.641,19.8859,0.206209,0.598178,2.03616,6.39902,61.1441,0.418866,121.268,0.19266,28.0767,7.38115,3.17839,11.2515,0.202909,0.884083,0.0312559,3.21054,1.62047,1.005,4.46518,270.119
0.207046,2.89373,18.3215,1355.47,6489.28,252.178,0.00115707,0.0260516,433.437,31.604,1.16283,15.9384,315.514,19.9058,0.206577,0.599083,2.04135,6.39973,61.1283,0.421428,121.345,0.193238,28.1185,7.383,3.18105,11.2482,0.202963,0.885277,0.0312784,3.22544,1.62172,0.998912,4.466,270.549
0.205449,2.887,18.2092,1356.22,6497.01,251.089,0.00115062,0.0258077,434.512,31.8418,1.16239,15.8593,315.724,19.9193,0.205236,0.597825,2.03129,6.38553,61.1059,0.420298,121.215,0.192895,27.9719,7.37907,3.16715,11.2138,0.202405,0.879953,0.0311256,3.21788,1.61569,1.00519,4.45263,269.791
0.208214,2.88662,18.2293,1357.57,6465.68,250.369,0.00114174,0.0258077,436.306,31.751,1.15675,15.89,315.837,19.7658,0.205065,0.599263,2.02544,6.35691,61.0232,0.418342,121.056,0.192163,27.9285,7.36725,3.15809,11.2187,0.202246,0.878168,0.0311191,3.20697,1.62317,1.00409,4.41551,269.055
0.206014,2.85535,18.2269,1333.82,6493.36,249.701,0.00113909,0.0257291,437.664,31.665,1.15418,15.9829,315.521,19.7224,0.20414,0.602542,2.02334,6.32921,61.0287,0.417886,122.189,0.191445,27.8994,7.37838,3.14954,11.2079,0.2023,0.876459,0.031009,3.18817,1.61907,1.00872,4.41352,268.337
0.205794,2.85599,18.2073,1314.53,6531.52,249.616,0.0011423,0.0257948,438.01,31.6663,1.15583,16.0158,315.625,19.7387,0.204171,0.600025,2.03608,6.3426,61.1396,0.419563,122.221,0.191172,27.9429,7.39209,3.15019,11.2357,0.202307,0.875829,0.0309785,3.1899,1.6189,1.0087,4.4257,268.635
0.206842,2.89712,18.2932,1347.17,6451.02,251.789,0.00114982,0.0260104,438.497,31.7983,1.16183,16.0695,315.933,19.8376,0.205806,0.598005,2.06513,6.36739,61.3259,0.420267,122.611,0.192679,28.2722,7.42707,3.20795,11.2563,0.203193,0.880045,0.0310996,3.22343,1.63085,0.998688,4.45719,270.23
0.206659,2.88029,18.2285,1332.45,6520.42,250.062,0.00116588,0.026091,434.444,31.5803,1.15914,16.0595,316.083,19.7071,0.204204,0.601328,2.03626,6.3245,61.2007,0.414408,121.584,0.190906,28.1553,7.40679,3.18595,11.2715,0.202806,0.874897,0.0306671,3.20255,1.66612,1.01166,4.41447,268.253
0.206838,2.86471,18.1451,1351.22,6459.95,250.273,0.00116704,0.0259183,434.921,31.6066,1.16162,16.1052,315.931,19.7127,0.204139,0.602128,2.05343,6.3365,61.1717,0.412332,121.225,0.190495,28.1887,7.43505,3.1886,11.2604,0.202142,0.876703,0.0306054,3.2071,1.63578,1.00298,4.42369,268.984
0.206703,2.85279,18.1917,1334.81,6498.19,250.173,0.00115667,0.0258414,434.685,31.7415,1.16417,16.1135,316.942,19.6992,0.204126,0.600454,2.05243,6.38879,61.1128,0.411994,121.626,0.191238,28.1408,7.45079,3.18707,11.2636,0.202073,0.881573,0.0306705,3.20892,1.65083,1.00932,4.39812,267.684
0.206861,2.88096,18.247,1331.26,6484.04,250.344,0.00115767,0.0261216,435.732,31.6176,1.16667,16.1321,316.681,19.7136,0.204617,0.601073,2.0276,6.43265,61.1776,0.412977,120.922,0.191304,28.174,7.47563,3.18404,11.2924,0.202872,0.877537,0.0306358,3.21363,1.64217,1.0085,4.42159,267.159
